PH	OC	Mg	N	P	K	Zn	Fe	Cu	Mn	Sand	Silt	Clay	CaCO3	CEC	Fertility_Class
5.28	2.19	3.54	295	23	211	0.27	5.47	0.42	6.71	75.74	13.63	7.48	14.88	10.3	High
5.28	1.59	4.2	254	24.88	231	1.65	2.75	0.2	7.55	77.69	9.22	9.21	14.72	8.96	High
5.28	1.08	4.59	203	29.06	153	0.62	7.35	0.95	3.88	76.9	11.55	7.46	9.77	14.7	High
5.28	2.08	2.59	203	29.06	253	0.62	4.35	0.95	3.88	76.9	11.55	7.46	9.77	14.7	High
5.28	2.19	3.54	295	23	211	0.27	5.47	0.42	6.71	75.74	13.63	7.48	14.88	10.3	High
5.28	1.59	4.2	254	24.88	231	1.65	2.75	0.2	7.55	77.69	9.22	9.21	14.72	8.96	High
5.28	2.5	6.44	147	36.8	109	0.62	5.35	0.9	1.09	77.78	4.83	11.59	11.81	6.66	Moderate
5.28	2.5	6.44	147	36.8	109	0.62	5.35	0.9	1.09	77.78	4.83	11.59	11.81	6.66	Moderate
5.29	3.45	4.39	263	38.66	229	0.34	5.47	0.46	5.25	91.38	8.46	9.59	4.09	5.1	High
5.29	3.45	4.39	263	38.66	229	0.34	5.47	0.46	5.25	91.38	8.46	9.59	4.09	5.1	High
5.29	1.71	6.54	280	26.46	277	0.87	3.72	0.46	3.23	79.48	7.93	8.11	8.3	6.08	High
5.29	3.46	5.89	399	30.02	109	0.24	3.44	0.59	1.84	94.71	9.29	6.69	10.34	24.3	High
5.29	2.47	1.4	305	16.7	400	0.76	6.71	0.33	3.87	81.87	10.07	11.26	4.7	9.67	Moderate
5.29	2.47	1.4	305	16.7	400	0.76	6.71	0.33	3.87	81.87	10.07	11.26	4.7	9.67	Moderate
5.29	2.47	1.4	305	16.7	400	0.76	6.71	0.33	3.87	81.87	10.07	11.26	4.7	9.67	Moderate
5.3	4.24	6	390	27.24	249	0.58	3.19	0.64	2.61	86.52	6.5	11.6	11.94	19.14	Very High
5.3	3.33	3.37	482	58.63	358	0.81	6.82	0.54	6.45	98.59	3.3	9.72	5.9	15.1	Very High
5.3	4.24	6	390	27.24	249	0.58	3.19	0.64	2.61	86.52	6.5	11.6	11.94	19.14	Very High
5.3	3.33	3.37	482	58.63	358	0.81	6.82	0.54	6.45	98.59	3.3	9.72	5.9	15.1	Very High
5.3	3.2	3.31	27	17.85	87	0.86	3.29	0.54	2.09	35.25	6.32	7.27	9.4	3.35	Low
5.3	3.2	3.31	27	17.85	87	0.86	3.29	0.54	2.09	35.25	6.32	7.27	9.4	3.35	Low
5.3	2.2	2.31	17	12.85	27	0.86	1.29	0.54	2.09	50.25	6.32	7.27	8.34	3.35	Very Low
5.3	2.2	2.31	17	12.85	27	0.86	1.29	0.54	2.09	50.25	6.32	7.27	8.34	3.35	Very Low
5.3	0.98	6.38	290	17.04	281	1.69	2.21	0.28	3.53	93.34	10.86	11.37	7.88	22.3	High
5.3	0.98	6.38	290	17.04	281	1.69	2.21	0.28	3.53	93.34	10.86	11.37	7.88	22.3	High
5.3	0.98	6.38	290	17.04	281	1.69	2.21	0.28	3.53	93.34	10.86	11.37	7.88	22.3	High
5.3	3.2	3.31	127	27.85	187	0.86	3.29	0.54	2.09	70.25	6.32	7.27	9.4	3.35	Moderate
5.3	3.2	3.31	127	27.85	187	0.86	3.29	0.54	2.09	70.25	6.32	7.27	9.4	3.35	Moderate
5.3	3.2	3.31	127	27.85	187	0.86	3.29	0.54	2.09	70.25	6.32	7.27	9.4	3.35	Moderate
5.3	3.2	3.31	127	27.85	187	0.86	3.29	0.54	2.09	70.25	6.32	7.27	9.4	3.35	Moderate
5.31	2.52	0.82	489	30.2	373	0.11	5.12	0.87	6.43	92	16.5	10.6	11.8	20.4	Very High
5.31	0.64	2.56	42	21.26	28	1.85	8.46	0.3	2.7	67.52	11.47	2.72	9.67	5.58	Low
5.31	0.64	2.56	42	21.26	28	1.85	8.46	0.3	2.7	67.52	11.47	2.72	9.67	5.58	Low
5.31	0.44	1.36	22	11.26	18	0.85	4.46	0.3	2.7	57.52	8.47	2.72	9.67	5.58	Very Low
5.31	2.81	6.4	243	24.99	286	0.7	3.35	0.34	6.67	98.89	5.48	10.19	8.1	4.87	High
5.32	2.23	3.47	36	16.5	46	0.01	8.74	0.53	2.66	67.07	6.83	5.84	9.5	9.4	Low
5.32	2.23	3.47	36	16.5	46	0.01	8.74	0.53	2.66	67.07	6.83	5.84	9.5	9.4	Low
5.32	1.33	1.37	26	6.5	26	0.01	8.74	0.53	2.66	47.07	6.83	5.84	9.5	9.4	Very Low
5.32	1.33	1.37	26	6.5	26	0.01	8.74	0.53	2.66	47.07	6.83	5.84	9.5	9.4	Very Low
5.32	3.14	2.06	244	23.41	209	1.18	2.41	0.94	3.69	87.94	9.04	9.04	10.05	8.93	High
5.32	1.07	4.34	259	16.66	250	1.56	3.93	0.56	6.04	76.93	8.81	9.56	7.4	6.2	High
5.32	3.14	2.06	244	23.41	209	1.18	2.41	0.94	3.69	87.94	9.04	9.04	10.05	8.93	High
5.32	1.07	4.34	259	16.66	250	1.56	3.93	0.56	6.04	76.93	8.81	9.56	7.4	6.2	High
5.32	3.14	2.06	244	23.41	209	1.18	2.41	0.94	3.69	87.94	9.04	9.04	10.05	8.93	High
5.32	1.07	4.34	259	16.66	250	1.56	3.93	0.56	6.04	76.93	8.81	9.56	7.4	6.2	High
5.33	4.4	3.69	324	12.48	231	0.56	5.63	0.98	6.57	76.35	15.97	9.55	15.04	2.67	Very High
5.33	4.4	3.69	324	12.48	231	0.56	5.63	0.98	6.57	76.35	15.97	9.55	15.04	2.67	Very High
5.33	3.3	3.61	284	24.77	255	1.61	6.49	0.36	3.24	82.89	6.7	12.44	5.24	7.51	High
5.33	2.49	2.46	227	34.37	234	0.53	6.23	0.64	3.76	90.17	7.17	6.29	10.36	12.97	High
5.33	2.49	2.46	227	24.37	234	0.53	6.23	0.64	3.76	90.17	7.17	6.29	10.36	22.97	High
5.33	3.3	3.61	284	24.77	255	1.61	6.49	0.36	3.24	82.89	6.7	12.44	5.24	7.51	High
5.33	2.49	2.46	227	34.37	234	0.53	6.23	0.64	3.76	90.17	7.17	6.29	10.36	12.97	High
5.33	2.49	2.46	227	24.37	234	0.53	6.23	0.64	3.76	90.17	7.17	6.29	10.36	22.97	High
5.33	3.3	3.61	284	24.77	255	1.61	6.49	0.36	3.24	82.89	6.7	12.44	5.24	7.51	High
5.34	3.09	6.48	441	38.49	336	0.32	6.09	0.56	4.64	97.82	17.59	13.38	7.11	23.49	Very High
5.34	3.09	6.48	441	38.49	336	0.32	6.09	0.56	4.64	97.82	17.59	13.38	7.11	23.49	Very High
5.34	2.21	1.49	64	19.33	96	0.1	4.59	0.69	5.53	65.83	8.45	6.17	10.2	6.67	Low
5.34	2.21	1.49	64	19.33	96	0.1	4.59	0.69	5.53	65.83	8.45	6.17	10.2	6.67	Low
5.34	2.21	1.49	64	19.33	96	0.1	4.59	0.69	5.53	65.83	8.45	6.17	10.2	6.67	Low
5.34	2.21	1.49	24	9.33	26	0.1	2.59	0.39	2.53	45.83	8.45	6.17	9.2	6.67	Very Low
5.34	2.21	1.49	24	9.33	26	0.1	2.59	0.39	2.53	45.83	8.45	6.17	9.2	6.67	Very Low
5.34	2.18	3.08	100	33.78	383	0.5	2.16	0.36	5.94	98.83	9.98	7.63	7.22	3.13	Moderate
5.34	2.18	3.08	100	33.78	383	0.5	2.16	0.36	5.94	98.83	9.98	7.63	7.22	3.13	Moderate
5.35	1.8	0.22	62	22.74	43	0.93	3.21	0.96	2.15	70.41	3.01	6.73	4.45	8.77	Low
5.35	1.49	2.86	72	16.67	25	0.53	2.8	0.54	7.68	96.5	6.87	8.48	8.25	6.73	Low
5.35	1.8	0.22	62	22.74	43	0.93	3.21	0.96	2.15	70.41	3.01	6.73	4.45	8.77	Low
5.35	1.49	2.86	72	16.67	25	0.53	2.8	0.54	7.68	96.5	6.87	8.48	8.25	6.73	Low
5.35	1.8	0.22	22	12.04	13	0.53	2.21	0.96	2.15	70.41	3.01	6.73	4.45	8.77	Very Low
5.35	1.8	0.22	22	12.04	13	0.53	2.21	0.96	2.15	70.41	3.01	6.73	4.45	8.77	Very Low
5.35	1.49	2.86	42	6.67	15	0.53	2.8	0.54	2.68	56.5	6.87	5.24	5.35	4.73	Very Low
5.35	2.3	5.38	269	28.23	129	1.76	2.89	0.58	3.78	74.37	5.68	7.52	9.61	13.53	High
5.35	4.98	1.78	138	37.5	285	1.47	3.18	0.67	1.31	71.12	6.89	8.88	16.93	10.35	High
5.35	1.76	5.47	365	16.82	346	0.75	4.56	0.35	5.68	92.89	5.75	7.61	4.11	18.93	High
5.35	1.49	5.86	272	16.67	225	0.53	2.8	0.54	5.68	76.5	8.87	11.58	10.25	19.73	High
5.35	2.3	5.38	269	28.23	129	1.76	2.89	0.58	3.78	74.37	5.68	7.52	9.61	13.53	High
5.35	4.98	1.78	138	37.5	285	1.47	3.18	0.67	1.31	71.12	6.89	8.88	16.93	10.35	High
5.35	1.76	5.47	365	16.82	346	0.75	4.56	0.35	5.68	92.89	5.75	7.61	4.11	18.93	High
5.35	1.49	5.86	272	16.67	225	0.53	2.8	0.54	5.68	76.5	8.87	11.58	10.25	19.73	High
5.35	2.3	5.38	269	28.23	129	1.76	2.89	0.58	3.78	74.37	5.68	7.52	9.61	13.53	High
5.35	4.98	1.78	138	37.5	285	1.47	3.18	0.67	1.31	71.12	6.89	8.88	16.93	10.35	High
5.35	1.76	5.47	365	16.82	346	0.75	4.56	0.35	5.68	92.89	5.75	7.61	4.11	18.93	High
5.35	1.49	2.86	172	16.67	125	0.53	2.8	0.54	7.68	96.5	14.87	10.58	8.25	9.73	Moderate
5.35	1.49	2.86	172	16.67	125	0.53	2.8	0.54	7.68	96.5	14.87	10.58	8.25	9.73	Moderate
5.36	4.42	2.45	230	25	214	1.25	8.53	0.77	3.43	78.24	6.32	6.42	9.7	7.03	High
5.36	2.17	6.59	259	24.69	236	0.85	2.37	0.4	1.78	79.5	7.91	7.08	18.06	20.75	High
5.36	4.42	2.45	230	25	214	1.25	8.53	0.77	3.43	78.24	6.32	6.42	9.7	7.03	High
5.36	2.17	6.59	259	24.69	236	0.85	2.37	0.4	1.78	79.5	7.91	7.08	18.06	20.75	High
5.36	4.42	2.45	230	25	214	1.25	8.53	0.77	3.43	78.24	6.32	6.42	9.7	7.03	High
5.37	4.53	2.96	216	20.18	286	1.82	3.61	0.64	1.88	82.73	9.62	14.2	3.35	15.55	High
5.37	4.53	2.96	216	20.18	286	1.82	3.61	0.64	1.88	82.73	9.62	14.2	3.35	15.55	High
5.38	3.76	5.49	321	21.36	265	1.33	2.89	0.28	2.75	88.29	6.51	12.18	11	13.56	Very High
5.38	3.76	5.49	321	21.36	265	1.33	2.89	0.28	2.75	88.29	6.51	12.18	11	13.56	Very High
5.38	3.76	5.49	321	21.36	265	1.33	2.89	0.28	2.75	88.29	6.51	12.18	11	13.56	Very High
5.38	2.4	1.2	55	13.66	49	0.79	8.32	0.82	5.68	68.02	9.44	5.49	9.14	8.23	Low
5.38	1.53	3.21	77	16.66	73	0.94	7.53	0.72	4.5	68.23	7.01	6.26	8.19	2.93	Low
5.38	2.45	2.65	36	14.9	33	0.59	4.01	0.56	2.13	63.13	4.97	3.49	10.52	14.16	Low
5.38	2.4	1.2	55	13.66	49	0.79	8.32	0.82	5.68	68.02	9.44	5.49	9.14	8.23	Low
5.38	1.53	3.21	77	16.66	73	0.94	7.53	0.72	4.5	68.23	7.01	6.26	8.19	2.93	Low
5.38	2.45	2.65	36	14.9	33	0.59	4.01	0.56	2.13	63.13	4.97	3.49	10.52	14.16	Low
5.38	2.4	1.2	55	13.66	49	0.79	8.32	0.82	5.68	68.02	9.44	5.49	9.14	8.23	Low
5.38	1.53	3.21	77	16.66	73	0.94	7.53	0.72	4.5	68.23	7.01	6.26	8.19	2.93	Low
5.38	0.4	0.2	25	9.06	29	0.79	8.32	0.82	5.68	48.02	9.44	5.49	9.14	6.23	Very Low
5.38	0.53	1.21	17	6.56	23	0.54	7.53	0.72	4.5	48.23	7.01	6.26	5.19	2.93	Very Low
5.38	2.45	2.65	16	12.09	23	0.49	2.01	0.56	2.13	63.13	4.97	3.49	8.52	14.16	Very Low
5.38	0.4	0.2	25	9.06	29	0.79	8.32	0.82	5.68	48.02	9.44	5.49	9.14	6.23	Very Low
5.38	0.53	1.21	17	6.56	23	0.54	7.53	0.72	4.5	48.23	7.01	6.26	5.19	2.93	Very Low
5.38	1.67	3.81	267	26.38	176	1.4	2.03	0.8	5.25	87.09	8.18	9.22	8.75	8.42	High
5.38	1.67	3.81	267	26.38	176	1.4	2.03	0.8	5.25	87.09	8.18	9.22	8.75	8.42	High
5.38	1.67	3.81	267	26.38	176	1.4	2.03	0.8	5.25	87.09	8.18	9.22	8.75	8.42	High
5.39	8.11	2.18	351	25	326	1.62	7.6	0.82	8.6	95.8	1.9	5.3	13	1.83	Very High
5.39	2.27	1.6	488	53.85	370	0.94	3.83	0.6	3.55	96.57	7.53	11.09	2.99	17.36	Very High
5.39	8.11	2.18	351	25	326	1.62	7.6	0.82	8.6	95.8	1.9	5.3	13	1.83	Very High
5.39	2.27	1.6	488	53.85	370	0.94	3.83	0.6	3.55	96.57	7.53	11.09	2.99	17.36	Very High
5.39	8.11	2.18	351	25	326	1.62	7.6	0.82	8.6	95.8	1.9	5.3	13	1.83	Very High
5.39	2.06	0.83	15	11.06	45	0.41	2.38	0.23	7.47	65.23	8.56	11.49	8.09	11.6	Low
5.39	2.06	0.83	15	11.06	45	0.41	2.38	0.23	7.47	65.23	8.56	11.49	8.09	11.6	Low
5.39	1.06	0.53	13	8.53	25	0.21	2.38	0.23	7.47	55.23	8.56	11.49	8.09	11.6	Very Low
5.39	1.06	0.53	13	8.53	25	0.21	2.38	0.23	7.47	55.23	8.56	11.49	8.09	11.6	Very Low
5.39	1.53	1.58	245	21.86	208	0.56	8.4	0.69	7.14	87.34	7.33	12.29	10.76	15.32	High
5.39	1.6	3.33	214	23.9	210	1.39	3.63	0.43	6.67	95.04	4.91	14.73	11.74	9.22	High
5.39	1.53	1.58	245	21.86	208	0.56	8.4	0.69	7.14	87.34	7.33	12.29	10.76	15.32	High
5.39	2.06	0.83	105	21.06	145	0.41	2.38	0.23	7.47	75.23	8.56	11.49	8.09	21.8	Moderate
5.39	2.06	0.83	105	21.06	145	0.41	2.38	0.23	7.47	75.23	8.56	11.49	8.09	21.8	Moderate
5.39	2.06	0.83	105	21.06	145	0.41	2.38	0.23	7.47	75.23	8.56	11.49	8.09	21.8	Moderate
5.39	2.06	0.83	105	21.06	145	0.41	2.38	0.23	7.47	75.23	8.56	11.49	8.09	21.8	Moderate
5.4	4.54	4.33	321	36.46	366	0.83	3.22	0.57	3.61	78.78	13.9	11.15	14.39	4.99	Very High
5.4	4.54	4.33	321	36.46	366	0.83	3.22	0.57	3.61	78.78	13.9	11.15	14.39	4.99	Very High
5.4	1.17	1.75	68	19.87	79	0.96	6.95	0.34	2.71	62.02	8.92	7.99	6.33	7.09	Low
5.4	1.17	1.75	68	19.87	79	0.96	6.95	0.34	2.71	62.02	8.92	7.99	6.33	7.09	Low
5.4	1.17	1.75	48	9.87	49	0.96	2.95	0.34	1.71	42.02	5.92	4.99	6.33	5.09	Very Low
5.4	1.17	1.75	48	9.87	49	0.96	2.95	0.34	1.71	42.02	5.92	4.99	6.33	5.09	Very Low
5.4	2.29	2.39	297	22.44	223	0.9	5.5	0.28	5	78.83	7.6	9.44	9.21	18.86	High
5.4	4.36	3.98	234	28.82	343	1.28	3.06	0.42	2.45	70.03	5.05	7.47	17.46	6.3	High
5.4	2.57	5.53	248	28.86	157	1.26	2.93	0.4	4.55	77.87	10.47	8.07	8.11	9.55	High
5.4	2.29	2.39	297	22.44	223	0.9	5.5	0.28	5	78.83	7.6	9.44	9.21	18.86	High
5.4	4.36	3.98	234	28.82	343	1.28	3.06	0.42	2.45	70.03	5.05	7.47	17.46	6.3	High
5.4	2.57	5.53	248	28.86	157	1.26	2.93	0.4	4.55	77.87	10.47	8.07	8.11	9.55	High
5.4	4.96	5.34	208	48.94	105	1.87	3.33	0.97	6.6	93.24	4.5	12.25	3.78	2.15	High
5.4	2.29	2.39	297	22.44	223	0.9	5.5	0.28	5	78.83	7.6	9.44	9.21	18.86	High
5.4	4.36	3.98	234	28.82	343	1.28	3.06	0.42	2.45	70.03	5.05	7.47	17.46	6.3	High
5.4	2.57	5.53	248	28.86	157	1.26	2.93	0.4	4.55	77.87	10.47	8.07	8.11	9.55	High
5.4	1.17	1.75	168	39.87	379	0.96	6.95	0.34	2.71	72.02	12.92	7.99	6.33	9.09	Moderate
5.4	1.17	1.75	168	39.87	379	0.96	6.95	0.34	2.71	72.02	12.92	7.99	6.33	9.09	Moderate
5.4	1.17	1.75	168	39.87	379	0.96	6.95	0.34	2.71	72.02	12.92	7.99	6.33	9.09	Moderate
5.41	1.24	1.28	488	28.7	256	0.75	8.8	0.89	4.6	84.3	9.5	6.2	10	11.1	Very High
5.41	1.52	1.89	478	34	318	1.83	11.3	0.96	5.5	80.4	8.2	11.4	2.92	6.84	Very High
5.41	2.92	6.76	183	53.94	130	0.58	5.12	0.96	4.86	81.83	11.57	13.28	12.46	4.13	Very High
5.41	1.24	1.28	488	28.7	266	0.75	8.8	0.89	4.6	84.3	9.5	6.2	10	11.1	Very High
5.41	1.52	1.89	478	34	318	1.83	11.3	0.96	5.5	80.4	8.2	11.4	2.92	6.84	Very High
5.41	2.92	6.76	183	53.94	130	0.58	5.12	0.96	4.86	81.83	11.57	13.28	12.46	4.13	Very High
5.41	1.24	1.28	488	28.7	346	0.75	8.8	0.89	4.6	84.3	9.5	6.2	10	11.1	Very High
5.41	1.52	1.89	478	34	318	1.83	11.3	0.96	5.5	80.4	8.2	11.4	2.92	6.84	Very High
5.41	4.62	2.88	201	24.67	209	1.17	5.68	0.37	2.36	75.64	7.94	11.61	12.6	11.17	High
5.41	2.47	6.04	296	25.11	154	0.88	6.62	0.89	1.76	94.03	10.21	8.95	2.72	9.88	High
5.41	2.47	6.04	296	25.11	154	0.88	6.62	0.89	1.76	94.03	10.21	8.95	2.72	9.88	High
5.41	4.62	2.88	201	24.67	209	1.17	5.68	0.37	2.36	75.64	7.94	11.61	12.6	11.17	High
5.41	2.47	6.04	296	25.11	154	0.88	6.62	0.89	1.76	94.03	10.21	8.95	2.72	9.88	High
5.42	4.04	5.36	348	44.35	271	0.43	8.62	0.5	3.02	89.56	5.78	6.98	17.62	10.09	Very High
5.42	4.04	5.36	348	44.35	271	0.43	8.62	0.5	3.02	89.56	5.78	6.98	17.62	10.09	Very High
5.42	3.83	1.4	240	24.7	197	1.13	5.55	0.82	5.41	70.98	9.38	13.45	2.74	17.48	High
5.42	3.83	1.4	240	24.7	197	1.13	5.55	0.82	5.41	70.98	9.38	13.45	2.74	17.48	High
5.43	4.82	6.1	115	15.4	389	0.4	5.04	0.49	6.01	85.6	7.7	9.7	11.3	10.8	Very High
5.43	0.52	4.61	432	41.43	394	0.94	8.14	0.77	4.89	86.89	9.65	9.65	4.62	6.67	Very High
5.43	4.82	6.1	115	15.4	389	0.4	5.04	0.49	6.01	85.6	7.7	9.7	11.3	10.8	Very High
5.43	0.52	4.61	432	41.43	394	0.94	8.14	0.77	4.89	86.89	9.65	9.65	4.62	6.67	Very High
5.43	4.82	6.1	115	15.4	389	0.4	5.04	0.49	6.01	85.6	7.7	9.7	11.3	10.8	Very High
5.43	0.7	1.87	19	18.2	43	0.13	8.47	0.98	4.79	94.54	9.22	8.62	14	5.65	Low
5.43	0.7	1.87	19	18.2	43	0.13	8.47	0.98	4.79	94.54	9.22	8.62	14	5.65	Low
5.43	0.7	1.87	14	15.2	23	0.13	6.47	0.58	4.79	54.54	4.22	5.62	4.14	5.65	Very Low
5.43	0.7	1.87	14	15.2	23	0.13	6.47	0.58	4.79	54.54	4.22	5.62	4.14	5.65	Very Low
5.43	0.75	3.43	234	26.16	240	0.85	4.58	0.63	7.64	97.95	4.56	12.73	10.67	9.71	High
5.43	1.7	2.87	219	38.2	243	0.13	8.47	0.98	4.79	94.54	9.22	10.62	14	5.65	High
5.43	2.7	2.87	219	38.2	243	0.13	8.47	0.98	4.79	94.54	9.22	10.62	14	5.65	High
5.43	0.75	3.43	234	26.16	240	0.85	4.58	0.63	7.64	97.95	4.56	12.73	10.67	9.71	High
5.43	1.7	2.87	219	38.2	243	0.13	8.47	0.98	4.79	94.54	9.22	10.62	14	5.65	High
5.43	2.7	2.87	219	38.2	243	0.13	8.47	0.98	4.79	94.54	9.22	10.62	14	5.65	High
5.43	0.75	3.43	234	26.16	240	0.85	4.58	0.63	7.64	97.95	4.56	12.73	10.67	9.71	High
5.43	0.7	1.87	119	18.2	143	1.13	8.47	0.98	4.79	94.54	9.22	10.62	14	5.65	Moderate
5.43	0.7	1.87	119	18.2	143	1.13	8.47	0.98	4.79	94.54	9.22	10.62	14	5.65	Moderate
5.43	0.7	1.87	119	18.2	143	1.13	8.47	0.98	4.79	94.54	9.22	10.62	14	5.65	Moderate
5.43	0.7	1.87	119	18.2	143	1.13	8.47	0.98	4.79	94.54	9.22	10.62	14	5.65	Moderate
5.44	1.06	3.54	443	59.82	338	0.66	8.31	0.53	7.66	93.83	6.25	13.42	5.68	2.76	Very High
5.44	1.06	3.54	443	59.82	338	0.66	8.31	0.53	7.66	93.83	6.25	13.42	5.68	2.76	Very High
5.45	2.87	2.14	89	21.84	19	0.89	3.41	0.56	3.29	65.56	5.63	6.33	5.28	4.62	Low
5.45	1.27	2.56	83	15.64	19	0.63	6.28	0.27	4.02	64.69	4.96	4.15	5.14	6.5	Low
5.45	2.87	2.14	89	21.84	19	0.89	3.41	0.56	3.29	65.56	5.63	6.33	5.28	4.62	Low
5.45	1.27	2.56	83	15.64	19	0.63	6.28	0.27	4.02	64.69	4.96	4.15	5.14	6.5	Low
5.45	2.87	2.14	89	21.84	19	0.89	3.41	0.56	3.29	65.56	5.63	6.33	5.28	4.62	Low
5.45	1.27	2.56	23	5.64	19	0.63	6.28	0.27	4.02	54.69	4.96	4.15	5.14	6.5	Very Low
5.45	2.87	1.14	19	11.84	19	0.79	3.41	0.56	3.29	55.56	5.63	6.33	5.28	4.62	Very Low
5.45	1.27	2.56	23	5.64	19	0.63	6.28	0.27	4.02	54.69	4.96	4.15	5.14	6.5	Very Low
5.45	2.87	1.14	19	11.84	19	0.79	3.41	0.56	3.29	55.56	5.63	6.33	5.28	4.62	Very Low
5.45	3.17	3.11	282	11.14	231	0.8	3.57	0.47	4.36	72.6	7.77	10.55	19.14	10.82	High
5.45	0.27	2.56	163	25.64	173	0.63	8.28	0.27	6.02	84.69	4.96	9.15	5.14	9.5	Moderate
5.45	0.27	2.56	163	25.64	173	0.63	8.28	0.27	6.02	84.69	4.96	9.15	5.14	9.5	Moderate
5.45	0.27	2.56	163	25.64	173	0.63	8.28	0.27	6.02	84.69	4.96	9.15	5.14	9.5	Moderate
5.45	0.27	2.56	163	25.64	173	0.63	8.28	0.27	6.02	84.69	4.96	9.15	5.14	9.5	Moderate
5.46	8.45	6.77	275	3	269	2.9	8.9	0.73	4.6	85.2	5.8	9	7.04	8.9	Very High
5.46	2.64	1.5	179	52.62	200	1.37	5.1	0.88	4.01	99.45	8.55	8.55	14.9	6.24	Very High
5.46	8.45	6.77	275	3	269	2.9	8.9	0.73	4.6	85.2	5.8	9	7.04	8.9	Very High
5.46	2.64	1.5	179	52.62	200	1.37	5.1	0.88	4.01	99.45	8.55	8.55	14.9	6.24	Very High
5.46	8.45	6.77	275	3	269	2.9	8.9	0.73	4.6	85.2	5.8	9	7.04	8.9	Very High
5.46	2.96	6.05	279	15.07	114	0.47	7.15	0.79	2.38	83.63	13.26	10.3	14.69	8.21	High
5.46	2.96	6.05	279	15.07	114	0.47	7.15	0.79	2.38	83.63	13.26	10.3	14.69	8.21	High
5.46	2.57	5.94	372	10.96	109	1.66	8.9	0.25	7.96	74.66	16.29	6.14	3.82	4.36	High
5.46	2.96	6.05	279	15.07	114	0.47	7.15	0.79	2.38	83.63	13.26	10.3	14.69	8.21	High
5.47	2.52	0.82	489	30.2	373	0.11	5.12	0.87	6.43	92	16.5	10.6	11.8	20.4	Very High
5.47	2.81	0.6	473	31.51	376	0.83	8.4	0.33	5.44	79.29	13.18	9.17	9.78	8.62	Very High
5.47	9.2	2.18	337	38.4	285	0.86	5.93	0.23	6.51	84.8	18.7	6.7	11.4	21.7	Very High
5.47	2.81	0.6	473	31.51	376	0.83	8.4	0.33	5.44	79.29	13.18	9.17	9.78	8.62	Very High
5.47	2.38	3.18	230	25.8	245	1.23	5.7	0.23	4.56	79.3	9.06	9.84	8.08	8.83	High
5.47	2.38	3.18	230	25.8	245	1.23	5.7	0.23	4.56	79.3	9.06	9.84	8.08	8.83	High
5.47	2.38	3.18	230	25.8	245	1.23	5.7	0.23	4.56	79.3	9.06	9.84	8.08	8.83	High
5.48	3.67	1.29	47	18.22	56	0.05	8.8	0.79	5.41	69.46	9.65	11.86	17.59	5.46	Low
5.48	3.67	1.29	47	18.22	56	0.05	8.8	0.79	5.41	69.46	9.65	11.86	17.59	5.46	Low
5.48	1.77	1.29	27	8.42	16	0.05	6.28	0.79	5.41	49.46	9.65	8.75	7.59	5.46	Very Low
5.48	1.77	1.29	27	8.42	16	0.05	6.28	0.79	5.41	49.46	9.65	8.75	7.59	5.46	Very Low
5.48	3.14	5.38	237	24.71	272	0.69	7.26	0.33	3.03	77.66	5.18	11.57	9.83	7.35	High
5.48	1.99	5.88	244	26.44	200	1.12	7.69	0.82	2	90.18	7.05	13.54	2.63	9.99	High
5.48	3.14	5.38	237	24.71	272	0.69	7.26	0.33	3.03	77.66	5.18	11.57	9.83	7.35	High
5.48	1.99	5.88	244	26.44	200	1.12	7.69	0.82	2	90.18	7.05	13.54	2.63	9.99	High
5.48	1.75	2.98	258	12.13	363	0.51	6.7	0.25	6.45	93.84	8.67	10.52	10.52	21.12	High
5.48	3.14	5.38	237	24.71	272	0.69	7.26	0.33	3.03	77.66	5.18	11.57	9.83	7.35	High
5.48	1.99	5.88	244	26.44	200	1.12	7.69	0.82	2	90.18	7.05	13.54	2.63	9.99	High
5.48	3.67	1.29	147	18.22	156	0.05	8.8	0.79	5.41	99.46	9.65	11.86	17.59	5.46	Moderate
5.48	3.67	1.29	147	18.22	156	0.05	8.8	0.79	5.41	99.46	9.65	11.86	17.59	5.46	Moderate
5.49	1.87	2.24	142	33.82	181	1.76	5.38	0.54	4.9	96.34	8.99	8.99	8.26	19.48	Very High
5.49	3.93	2.05	403	47.72	146	1.9	6.45	0.63	4.66	82.91	8.9	8.21	12.7	2.64	Very High
5.49	1.87	2.24	142	33.82	181	1.76	5.38	0.54	4.9	96.34	8.99	8.99	8.26	19.48	Very High
5.49	3.93	2.05	403	47.72	146	1.9	6.45	0.63	4.66	82.91	8.9	8.21	12.7	2.64	Very High
5.49	1.6	2.24	30	18.75	75	0.35	5.74	0.23	3.96	65.98	8.03	9.99	9.11	9.77	Low
5.49	1.6	2.24	30	18.75	75	0.35	5.74	0.23	3.96	65.98	8.03	9.99	9.11	9.77	Low
5.49	1.6	2.24	30	8.75	15	0.35	5.74	0.23	3.96	55.98	5.03	9.99	9.11	4.77	Very Low
5.49	2.63	2.65	292	22.38	246	1.18	3.29	0.87	1.12	85.74	9.8	9.92	6.76	14.79	High
5.49	2.73	4.16	280	40.6	288	0.59	8.69	0.89	1.18	93.38	6.25	10.56	7.94	4.87	High
5.49	1.6	2.24	230	28.75	275	0.35	6.74	0.23	7.96	95.98	15.03	14.99	9.11	12.77	High
